method,split,step,reward,rolling_reward
Kimi-OPMD,train,4,0.0,0.0009765625
Kimi-OPMD,train,5,0.0,0.00078125
Kimi-OPMD,train,6,0.01953125,0.00390625
Kimi-OPMD,train,7,0.03515625,0.008370535714285714
Kimi-OPMD,train,8,0.12109375,0.0224609375
Kimi-OPMD,train,9,0.1796875,0.03993055555555555
Kimi-OPMD,train,10,0.265625,0.06944444444444445
Kimi-OPMD,train,11,0.3515625,0.10850694444444445
Kimi-OPMD,train,12,0.5625,0.17057291666666666
Kimi-OPMD,train,13,0.50390625,0.2265625
Kimi-OPMD,train,14,0.3515625,0.265625
Kimi-OPMD,train,15,0.3671875,0.3042534722222222
Kimi-OPMD,train,16,0.50390625,0.3563368055555556
Kimi-OPMD,train,17,0.546875,0.4036458333333333
Kimi-OPMD,train,18,0.39453125,0.4275173611111111
Kimi-OPMD,train,19,0.34765625,0.4366319444444444
Kimi-OPMD,train,20,0.4375,0.4461805555555556
Kimi-OPMD,train,21,0.45703125,0.4344618055555556
Kimi-OPMD,train,22,0.37109375,0.4197048611111111
Kimi-OPMD,train,23,0.546875,0.44140625
Kimi-OPMD,train,24,0.5078125,0.45703125
Kimi-OPMD,train,25,0.40625,0.4461805555555556
Kimi-OPMD,train,26,0.48046875,0.4388020833333333
Kimi-OPMD,train,27,0.41015625,0.4405381944444444
Kimi-OPMD,train,28,0.56640625,0.46484375
Kimi-OPMD,train,29,0.38671875,0.4592013888888889
Kimi-OPMD,train,30,0.48046875,0.4618055555555556
Kimi-OPMD,train,31,0.43359375,0.46875
Kimi-OPMD,train,32,0.5,0.4635416666666667
Kimi-OPMD,train,33,0.43359375,0.4552951388888889
Kimi-OPMD,train,34,0.52734375,0.46875
Kimi-OPMD,train,35,0.4765625,0.4683159722222222
Kimi-OPMD,train,36,0.4765625,0.4756944444444444
Kimi-OPMD,train,37,0.4921875,0.4674479166666667
Kimi-OPMD,train,38,0.4453125,0.4739583333333333
Kimi-OPMD,train,39,0.43359375,0.46875
Kimi-OPMD,train,40,0.53125,0.4796006944444444
Kimi-OPMD,train,41,0.48046875,0.4774305555555556
Kimi-OPMD,train,42,0.40234375,0.4739583333333333
Kimi-OPMD,train,43,0.625,0.4848090277777778
Kimi-OPMD,train,44,0.3515625,0.4709201388888889
Kimi-OPMD,train,45,0.53515625,0.4774305555555556
Kimi-OPMD,train,46,0.50390625,0.4787326388888889
Kimi-OPMD,train,47,0.47265625,0.4817708333333333
Kimi-OPMD,train,48,0.484375,0.4874131944444444
Kimi-OPMD,train,49,0.44921875,0.4782986111111111
Kimi-OPMD,train,50,0.4609375,0.4761284722222222
Kimi-OPMD,train,51,0.61328125,0.4995659722222222
Kimi-OPMD,train,52,0.5390625,0.4900173611111111
Kimi-OPMD,train,53,0.37890625,0.4930555555555556
Kimi-OPMD,train,54,0.42578125,0.4809027777777778
Kimi-OPMD,train,55,0.484375,0.4787326388888889
Kimi-OPMD,train,56,0.453125,0.4765625
Kimi-OPMD,train,57,0.4296875,0.4704861111111111
Kimi-OPMD,train,58,0.578125,0.4848090277777778
Kimi-OPMD,train,59,0.625,0.5030381944444444
Kimi-OPMD,train,60,0.48828125,0.4891493055555556
Kimi-OPMD,train,61,0.53125,0.48828125
Kimi-OPMD,train,62,0.58984375,0.51171875
Kimi-OPMD,train,63,0.5390625,0.5243055555555556
Kimi-OPMD,train,64,0.50390625,0.5264756944444444
Kimi-OPMD,train,65,0.5390625,0.5360243055555556
Kimi-OPMD,train,66,0.484375,0.5421006944444444
Kimi-OPMD,train,67,0.44921875,0.5277777777777778
Kimi-OPMD,train,68,0.59375,0.5243055555555556
Kimi-OPMD,train,69,0.57421875,0.5338541666666666
Kimi-OPMD,train,70,0.58203125,0.5394965277777778
Kimi-OPMD,train,71,0.39453125,0.5177951388888888
Kimi-OPMD,train,72,0.62109375,0.5269097222222222
Kimi-OPMD,train,73,0.45703125,0.5217013888888888
Kimi-OPMD,train,74,0.5546875,0.5234375
Kimi-OPMD,train,75,0.64453125,0.5412326388888888
Kimi-OPMD,train,76,0.51171875,0.5481770833333334
Kimi-OPMD,train,77,0.53515625,0.5416666666666666
Kimi-OPMD,train,78,0.5390625,0.5377604166666666
Kimi-OPMD,train,79,0.43359375,0.5212673611111112
Kimi-OPMD,train,80,0.5234375,0.5355902777777778
Kimi-OPMD,train,81,0.421875,0.5134548611111112
